Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
1,17.947141979102643,29.064039408866996,2.7155126337630158,2.009131244584626
2,37.67670559311617,45.8128078817734,1.7747591911867737,1.59052768758699
3,47.87953288260602,44.827586206896555,1.4579941163924168,1.4495746160254759
4,51.87461585740627,61.576354679802954,1.327267145312389,1.0796509718193728
5,60.11063306699447,52.70935960591133,1.1048030357725498,1.4024761129243701
6,62.32329440688383,63.05418719211823,1.0301929448779297,1.0973416540552587
7,64.41303011677935,67.48768472906404,0.9625835199485686,0.8781469718498343
8,68.96127842655194,72.9064039408867,0.8630155562228667,0.8371947778790605
9,72.89489858635525,76.84729064039409,0.7505047739430786,0.6119957125070048
10,75.10755992624462,76.84729064039409,0.6914547246352241,0.6432836496946859
11,76.45974185617702,72.9064039408867,0.6342043360965258,0.6533872488813073
12,80.20897357098956,77.83251231527093,0.5214872220679843,0.7281731061783492
13,80.3318992009834,81.2807881773399,0.5371073823506859,0.47095035973425003
14,83.58942839582053,81.77339901477832,0.4455928302127456,0.42867940218717443
15,84.75722188076215,82.26600985221675,0.44391404821008845,0.43296260620449106
16,86.7240319606638,75.36945812807882,0.37498526959004985,0.7773315204106563
17,84.4499078057775,83.2512315270936,0.4335108292861144,0.49478797100520894
18,85.8020897357099,82.26600985221675,0.39922014671733663,0.48390481277715924
19,88.81376767055932,87.19211822660098,0.31142801586572877,0.345829579052424
20,89.79717271051014,77.83251231527093,0.29515515413124993,0.5970423625389516
21,88.44499078057775,92.11822660098522,0.31621538923998393,0.29289086552921173
22,89.55132145052244,89.65517241379311,0.29334577080534535,0.3319643299442296
23,92.37861094038107,83.2512315270936,0.21419085040448246,0.45036395448351313
24,91.64105716041794,85.71428571428571,0.23151483482404336,0.37105686930647375
25,94.0381069452981,84.23645320197045,0.1702273203802572,0.45703831975183945
26,92.19422249539029,91.13300492610837,0.22690874822260423,0.2650004924005628
27,93.7922556853104,87.19211822660098,0.18821822065163257,0.33518826994844075
28,92.31714812538414,87.19211822660098,0.225233846722046,0.4040414926541202
29,92.62446220036878,92.61083743842364,0.20605525226176075,0.29210304172125223
30,92.6859250153657,83.2512315270936,0.20534518626515688,0.5551206258573004
31,94.96004917025199,90.14778325123153,0.14145386550107544,0.35953254875836566
32,94.83712354025815,91.13300492610837,0.1464301260888001,0.30599475063054876
33,93.54640442532268,85.22167487684729,0.17294883850227677,0.5232532502622252
34,94.2839582052858,86.20689655172414,0.16214679033282106,0.4884308083348122
35,95.75906576521204,86.69950738916256,0.11101285817439975,0.43676118223982696
36,92.87031346035648,90.64039408866995,0.21986464046857707,0.354604149949463
37,96.98832206515058,90.64039408866995,0.08857519625049973,0.3512049891276048
38,97.7258758451137,94.08866995073892,0.07509702714137917,0.2511050211997274
39,96.86539643515673,91.6256157635468,0.09036987298064555,0.2935570247343504
40,96.86539643515673,92.11822660098522,0.09300233969410265,0.24484682573443828
41,97.66441303011678,89.16256157635468,0.06326270015828463,0.36071470962704943
42,97.23417332513829,90.14778325123153,0.08320617301536024,0.309855700260503
43,97.7258758451137,92.61083743842364,0.056800568595380435,0.2756366799488508
44,97.7258758451137,88.17733990147784,0.08227233839896622,0.3901624569473058
45,96.18930547019053,91.6256157635468,0.11369455045485853,0.34873324192092553
46,95.8819913952059,83.74384236453201,0.14756786289592835,0.6774552079835249
47,91.82544560540873,85.22167487684729,0.2452094905444247,0.5302895957366655
48,87.21573448063921,78.81773399014779,0.39608603617901794,0.8087739164498178
49,92.56299938537185,87.6847290640394,0.20961167282640536,0.3999948098379023
50,93.42347879532882,87.19211822660098,0.18140337007929797,0.38855564763185146
51,96.43515673017824,94.08866995073892,0.11899155486154563,0.29192825760372787
52,97.29563614013522,89.16256157635468,0.09328765827728806,0.3747760357036182
53,97.17271051014137,91.13300492610837,0.08477084610635656,0.2786821762177472
54,97.97172710510141,90.14778325123153,0.060860835053959145,0.4238733768505364
55,99.44683466502765,90.64039408866995,0.03131013090013045,0.357326693311288
56,98.77074370006146,92.11822660098522,0.03306126041692242,0.3783724712015029
57,97.60295021511985,91.13300492610837,0.09053707668133076,0.376719625420211
58,99.63122311001844,93.5960591133005,0.016426506116209695,0.33891659746358543
59,99.63122311001844,91.6256157635468,0.014182241114009606,0.3630044719149523
60,99.56976029502151,92.61083743842364,0.021116156072106387,0.358297062829461
61,100.0,92.61083743842364,0.004899252745544844,0.3507646292164995
62,100.0,91.6256157635468,0.0039055164161790963,0.3618024846084653
63,100.0,91.6256157635468,0.003223795321190367,0.3555318555981834
64,100.0,92.61083743842364,0.002950214700742181,0.3545928948961755
65,100.0,91.6256157635468,0.002734720050583963,0.3596156169429271
66,100.0,92.11822660098522,0.0025124856309392614,0.3609541667569383
67,100.0,92.61083743842364,0.002324569520386221,0.36449608315517396
68,100.0,92.11822660098522,0.0021742212589716033,0.3618675059457446
69,100.0,91.13300492610837,0.002074076030005075,0.36619669447356823
70,100.0,91.13300492610837,0.0019466115523035883,0.3717036285607701
71,100.0,92.11822660098522,0.0018586203425730657,0.36999556815092494
72,100.0,92.61083743842364,0.0017649564884437982,0.3652668630812139
73,100.0,91.6256157635468,0.001690636451446714,0.378569907709664
74,100.0,91.6256157635468,0.0016228953234540156,0.38149720550270516
75,100.0,92.11822660098522,0.001563115055703108,0.371433084839487
76,100.0,92.11822660098522,0.001514102635283097,0.37662275366164977
77,100.0,91.6256157635468,0.0014460735744521386,0.37707295932227236
78,100.0,92.11822660098522,0.0014059332323407769,0.3798539676896397
79,100.0,92.11822660098522,0.001355653793005921,0.37945840199188074
80,100.0,92.11822660098522,0.001308705682033348,0.37758487013314723
81,100.0,92.61083743842364,0.001266156462659311,0.37837794018160625
82,100.0,92.11822660098522,0.0012283911664490543,0.3812107748365402
83,100.0,92.11822660098522,0.0011942423394559688,0.380342326478236
84,100.0,92.11822660098522,0.0011530611480414826,0.3808911131690918
85,100.0,92.11822660098522,0.0011221751946226821,0.38487049775864635
86,100.0,92.11822660098522,0.0011016787642985468,0.40143545968149896
87,100.0,92.11822660098522,0.0010644016860330253,0.387248102789254
88,100.0,92.11822660098522,0.0010382616724859705,0.3871842229181864
89,100.0,92.11822660098522,0.0010109974980663653,0.39060056583491365
90,100.0,92.11822660098522,0.0009886768274659952,0.38818645398657514
